Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Geography,71,64,71,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,History,397,349.6666667,397,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,529,469,529,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,96,82.5,96,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Political Science,903,765.1666667,903,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Psychology,686,584.1666667,686,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Social Sciences Division,Sociology,445,402.8333333,445,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Undeclared,L&S Undeclared,8353,8353,8353,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,795,706.3333333,795,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,64,62.5,64,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",412,402,412,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,209,205,209,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Natural Resources,Clg of Natural Resources,Other Clg of Natural Res Pgms,225,225,225,2005-06
2006 Spring,2006 B,Spring,U,All,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,168,162.5,168,2005-06
2006 Spring,2006 B,Spring,U,All,Haas School of Business,Haas School of Business,Business,591,494.3333333,591,2005-06
2006 Spring,2006 B,Spring,U,All,Other EVCP Programs,Other EVCP Programs,Other EVCP Programs,6,6,6,2005-06
2006 Fall,2006 D,Fall,U,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,366,336.5,366,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Chemistry,Clg of Chemistry,Chemistry,491,483.5,491,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Bioengineering,316,307.5,316,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,378,376.5,378,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,875,851,875,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Engineering Science,315,313.5,315,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,113,110.5,113,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,142,96,142,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,601,579,601,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,69,53.5,69,2006-07
