Academic Yr,DegLvl,DegLvlDesc,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,28,27
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,8,5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,37,36.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,186,166.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Other Phys Sci Programs,10,9.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,107,94
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,20,16.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,African American Studies,1,1
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Anthropology,70,62.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Economics,216,196
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Ethnic Studies,19,16.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Gender & Womens Studies,4,3.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Geography,53,51.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,History,231,215
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Linguistics,33,30
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Other Social Sciences,213,211.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,323,297
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,214,200.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,67,60.5
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,IAS Teaching Program,208,196
1985-86,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,UGIS-UG Interdisc Studies,107,99
1985-86,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,38,38
1985-86,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",76,76
1985-86,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,62,62
1985-86,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,34,34
1985-86,1,Bachelor,All,Haas School of Business,Haas School of Business,Business,326,326
1985-86,1,Bachelor,All,School of Optometry,School of Optometry,Optometry,69,69
1986-87,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,90,87.5
1986-87,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,49,49
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,16,16
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,100,100
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,237,234
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,36,36
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,51,48
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,46,36
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,139,130
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,21,18.5
1986-87,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Ocean Eng Grad Grp,10,10
1986-87,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Architecture,182,182
1986-87,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,17,17
1986-87,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Other Env Design Programs,9,9
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Chemistry,3,2
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Computer Science,118,110
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Legal Studies,49,45.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Social Welfare,70,63
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Art Practice,53,48.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,11,10
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,21,19.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,13,12.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,407,382
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Film and Media,11,9.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,French,66,55.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,16,13.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,39,38
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,4,3.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,24,23
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,15,13
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Other Arts & Humanities,75,74
